"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1990년 01월 02일","399.60","399.60","399.60","399.60","0.21K","-0.72%"
"1989년 12월 29일","402.50","402.50","402.50","402.50","0.00K","0.98%"
"1989년 12월 28일","398.60","398.60","398.60","398.60","0.00K","-0.55%"
"1989년 12월 27일","400.80","409.00","410.00","399.50","0.35K","-1.47%"
"1989년 12월 26일","406.80","412.80","412.80","405.00","0.35K","-1.55%"
"1989년 12월 22일","413.20","413.50","413.50","412.90","0.05K","0.32%"
"1989년 12월 21일","411.90","414.00","414.00","411.60","0.16K","-0.41%"
"1989년 12월 20일","413.60","412.00","414.80","412.00","0.48K","0.41%"
"1989년 12월 19일","411.90","412.00","414.20","411.50","0.20K","0.02%"
"1989년 12월 18일","411.80","409.50","412.50","406.50","0.16K","-0.51%"
"1989년 12월 15일","413.90","412.20","414.80","412.00","0.07K","1.37%"
"1989년 12월 14일","408.30","407.60","409.00","404.50","0.27K","0.05%"
"1989년 12월 13일","408.10","416.50","416.80","408.10","0.47K","-2.35%"
"1989년 12월 12일","417.90","415.80","418.70","415.30","0.08K","0.26%"
"1989년 12월 11일","416.80","414.00","418.00","413.50","0.15K","1.21%"
"1989년 12월 08일","411.80","407.20","415.00","406.70","1.00K","0.44%"
"1989년 12월 07일","410.00","406.50","410.50","403.00","0.40K","1.26%"
"1989년 12월 06일","404.90","403.00","405.50","401.50","0.53K","0.35%"
"1989년 12월 05일","403.50","401.50","405.50","401.50","0.90K","0.60%"
"1989년 12월 04일","401.10","409.00","410.00","401.10","2.07K","-3.02%"
"1989년 12월 01일","413.60","413.00","415.50","412.10","1.51K","0.49%"
"1989년 11월 30일","411.60","406.00","412.90","406.00","5.73K","0.51%"
"1989년 11월 29일","409.50","409.10","413.50","408.20","26.10K","-0.94%"
"1989년 11월 28일","413.40","413.40","413.40","413.40","-","-0.12%"
"1989년 11월 27일","413.90","413.90","413.90","413.90","0.01K","-1.19%"
"1989년 11월 24일","418.90","415.50","415.50","415.50","0.03K","1.92%"
"1989년 11월 22일","411.00","408.50","408.50","408.50","0.01K","1.81%"
"1989년 11월 21일","403.70","404.00","404.00","404.00","0.00K","1.38%"
"1989년 11월 20일","398.20","395.00","395.50","395.00","0.03K","0.91%"
"1989년 11월 17일","394.60","394.60","394.60","394.60","0.31K","0.82%"
"1989년 11월 16일","391.40","391.40","391.40","391.40","0.00K","0.03%"
"1989년 11월 15일","391.30","390.00","390.00","390.00","0.78K","-0.51%"
"1989년 11월 14일","393.30","388.50","391.00","388.50","0.00K","0.59%"
"1989년 11월 13일","391.00","391.00","391.00","391.00","-","1.09%"
"1989년 11월 10일","386.80","386.80","386.80","386.80","-","-0.08%"
"1989년 11월 09일","387.10","387.10","387.10","387.10","-","-0.44%"
"1989년 11월 08일","388.80","388.80","388.80","388.80","0.07K","0.67%"
"1989년 11월 07일","386.20","384.00","384.00","384.00","0.00K","1.23%"
"1989년 11월 06일","381.50","381.50","381.50","381.50","-","0.79%"
"1989년 11월 03일","378.50","378.50","378.50","378.50","-","-0.50%"
"1989년 11월 02일","380.40","374.80","381.00","374.80","0.05K","1.66%"
"1989년 11월 01일","374.20","374.20","374.20","374.20","0.12K","-0.13%"
"1989년 10월 31일","374.70","374.70","374.70","374.70","0.04K","-0.82%"
"1989년 10월 30일","377.80","377.80","377.80","377.80","-","-0.13%"
"1989년 10월 27일","378.30","375.50","378.00","374.70","0.16K","1.56%"
"1989년 10월 26일","372.50","369.30","372.50","369.30","0.05K","0.92%"
"1989년 10월 25일","369.10","370.20","370.20","369.00","0.34K","-0.30%"
"1989년 10월 24일","370.20","367.50","368.50","367.20","0.04K","0.87%"
"1989년 10월 23일","367.00","367.00","367.30","367.00","0.08K","-0.08%"
"1989년 10월 20일","367.30","367.30","367.30","367.30","0.00K","0.05%"
"1989년 10월 19일","367.10","367.10","367.10","367.10","-","-0.43%"
"1989년 10월 18일","368.70","368.40","368.40","368.40","0.21K","0.35%"
"1989년 10월 17일","367.40","366.80","367.30","366.80","0.09K","0.03%"
"1989년 10월 16일","367.30","371.00","371.00","367.10","0.32K","1.10%"
"1989년 10월 13일","363.30","364.30","364.30","363.20","0.06K","-0.03%"
"1989년 10월 12일","363.40","363.00","363.50","363.00","0.11K","0.39%"
"1989년 10월 11일","362.00","361.00","362.30","361.00","0.28K","0.28%"
"1989년 10월 10일","361.00","362.50","362.50","361.90","0.14K","-0.58%"
"1989년 10월 09일","363.10","363.20","363.20","362.80","0.10K","-0.16%"
"1989년 10월 06일","363.70","363.70","363.70","363.70","0.15K","0.08%"
"1989년 10월 05일","363.40","366.00","366.00","362.80","0.29K","-0.98%"
"1989년 10월 04일","367.00","366.80","367.30","366.70","0.10K","0.03%"
"1989년 10월 03일","366.90","366.30","367.20","366.30","0.16K","-0.19%"
"1989년 10월 02일","367.60","366.00","367.50","366.00","0.20K","0.11%"
"1989년 09월 29일","367.20","369.00","369.20","366.50","0.87K","-0.24%"
"1989년 09월 28일","368.10","367.10","368.70","367.00","1.13K","0.14%"
"1989년 09월 27일","367.60","367.60","367.60","367.60","0.10K","-0.24%"
"1989년 09월 26일","368.50","368.50","368.50","368.50","-","-0.35%"
"1989년 09월 25일","369.80","368.20","368.20","368.20","0.02K","0.98%"
"1989년 09월 22일","366.20","366.10","366.10","366.10","0.01K","0.19%"
"1989년 09월 21일","365.50","365.50","365.50","365.50","0.20K","0.16%"
"1989년 09월 20일","364.90","361.40","361.40","361.40","0.00K","1.02%"
"1989년 09월 19일","361.20","362.00","362.00","362.00","0.00K","-0.14%"
"1989년 09월 18일","361.70","361.70","361.70","361.70","0.26K","-0.60%"
"1989년 09월 15일","363.90","363.90","363.90","363.90","0.01K","0.94%"
"1989년 09월 14일","360.50","360.50","360.50","360.50","0.20K","0.17%"
"1989년 09월 13일","359.90","359.90","359.90","359.90","0.72K","0.11%"
"1989년 09월 12일","359.50","359.50","359.50","359.50","0.38K","0.08%"
"1989년 09월 11일","359.20","359.20","359.20","359.20","0.01K","-0.06%"
"1989년 09월 08일","359.40","359.40","359.40","359.40","-","-0.22%"
"1989년 09월 07일","360.20","360.20","360.20","360.20","-","-0.39%"
"1989년 09월 06일","361.60","361.30","361.30","361.30","0.13K","0.56%"
"1989년 09월 05일","359.60","359.00","359.00","359.00","0.00K","-0.28%"
"1989년 09월 01일","360.60","360.60","360.60","360.60","-","0.19%"
"1989년 08월 31일","359.90","360.80","360.80","360.80","0.07K","-0.53%"
"1989년 08월 30일","361.80","362.00","362.00","361.50","0.02K","-0.50%"
"1989년 08월 29일","363.60","360.50","366.00","360.50","0.05K","1.00%"
"1989년 08월 28일","360.00","361.50","361.80","360.00","0.13K","-0.19%"
"1989년 08월 25일","360.70","361.50","362.10","360.80","0.06K","-1.04%"
"1989년 08월 24일","364.50","364.70","365.00","363.50","0.14K","-0.36%"
"1989년 08월 23일","365.80","367.80","368.50","365.50","0.05K","-0.57%"
"1989년 08월 22일","367.90","368.50","368.60","368.00","0.22K","-0.14%"
"1989년 08월 21일","368.40","368.00","368.30","368.00","0.27K","0.08%"
"1989년 08월 18일","368.10","368.10","368.30","366.00","0.13K","-0.05%"
"1989년 08월 17일","368.30","366.50","369.50","366.00","0.08K","0.03%"
"1989년 08월 16일","368.20","370.50","370.80","369.00","0.25K","-0.67%"
"1989년 08월 15일","370.70","367.00","368.70","367.00","0.26K","0.98%"
"1989년 08월 14일","367.10","365.00","367.80","364.70","0.15K","0.52%"
"1989년 08월 11일","365.20","364.00","365.50","362.00","0.35K","-0.57%"
"1989년 08월 10일","367.30","366.50","367.50","366.50","0.68K","0.11%"
"1989년 08월 09일","366.90","364.80","367.20","364.80","0.74K","0.19%"
"1989년 08월 08일","366.20","367.10","367.40","365.50","0.36K","0.08%"
"1989년 08월 07일","365.90","367.80","367.80","365.00","0.93K","-0.52%"
"1989년 08월 04일","367.80","371.90","372.00","367.00","0.76K","-1.58%"
"1989년 08월 03일","373.70","369.80","375.00","369.20","2.19K","0.97%"
"1989년 08월 02일","370.10","370.80","370.80","369.40","0.99K","-0.19%"
"1989년 08월 01일","370.80","370.00","371.30","368.40","3.40K","0.08%"
"1989년 07월 31일","370.50","367.50","371.00","367.50","5.92K","0.95%"
"1989년 07월 28일","367.00","373.00","373.00","365.80","43.96K","-1.79%"
"1989년 07월 27일","373.70","373.70","373.70","373.70","0.20K","-0.32%"
"1989년 07월 26일","374.90","375.20","375.20","375.20","1.00K","0.32%"
"1989년 07월 25일","373.70","373.70","373.70","373.70","1.47K","0.08%"
"1989년 07월 24일","373.40","371.50","372.00","371.50","0.02K","0.27%"
"1989년 07월 21일","372.40","372.40","372.40","372.40","-","0.27%"
"1989년 07월 20일","371.40","371.50","371.50","371.50","0.01K","0.84%"
"1989년 07월 19일","368.30","370.00","370.00","370.00","0.32K","-1.15%"
"1989년 07월 18일","372.60","372.60","372.60","372.60","-","0.43%"
"1989년 07월 17일","371.00","371.00","371.00","371.00","-","0.05%"
"1989년 07월 14일","370.80","370.80","370.80","370.80","-","-1.64%"
"1989년 07월 13일","377.00","377.00","377.00","377.00","-","-0.45%"
"1989년 07월 12일","378.70","377.20","377.20","377.20","0.51K","-0.73%"
"1989년 07월 11일","381.50","381.50","381.50","381.50","-","-0.81%"
"1989년 07월 10일","384.60","384.60","384.60","384.60","0.47K","0.26%"
"1989년 07월 07일","383.60","383.30","383.30","383.30","0.12K","-0.72%"
"1989년 07월 06일","386.40","385.80","385.80","385.80","0.10K","0.10%"
"1989년 07월 05일","386.00","381.00","386.50","381.00","0.35K","2.01%"
"1989년 07월 03일","378.40","378.40","378.40","378.40","-","1.01%"
"1989년 06월 30일","374.60","374.00","374.00","374.00","0.02K","0.92%"
"1989년 06월 29일","371.20","371.20","371.20","371.20","-","-1.41%"
"1989년 06월 28일","376.50","374.80","376.60","374.80","0.51K","-0.03%"
"1989년 06월 27일","376.60","376.00","377.80","376.00","0.11K","0.40%"
"1989년 06월 26일","375.10","378.00","378.00","376.00","0.12K","-0.90%"
"1989년 06월 23일","378.50","372.50","372.50","371.60","0.06K","2.02%"
"1989년 06월 22일","371.00","372.20","372.20","372.00","0.01K","-0.38%"
"1989년 06월 21일","372.40","367.00","369.00","367.00","0.03K","1.67%"
"1989년 06월 20일","366.30","367.90","367.90","366.10","0.24K","-0.22%"
"1989년 06월 19일","367.10","366.00","368.00","365.90","0.07K","0.55%"
"1989년 06월 16일","365.10","367.50","367.50","364.00","0.32K","-0.52%"
"1989년 06월 15일","367.00","362.00","369.50","360.50","0.53K","0.88%"
"1989년 06월 14일","363.80","362.70","364.00","362.00","0.44K","0.19%"
"1989년 06월 13일","363.10","361.50","364.40","359.00","0.19K","0.33%"
"1989년 06월 12일","361.90","359.50","363.00","359.50","0.31K","1.06%"
"1989년 06월 09일","358.10","371.00","372.00","356.50","0.92K","-4.12%"
"1989년 06월 08일","373.50","375.50","375.80","373.00","1.16K","-0.69%"
