"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1989년 12월 29일","353.40","350.70","353.40","350.70","-","0.77%"
"1989년 12월 28일","350.70","348.80","350.70","348.80","-","0.54%"
"1989년 12월 27일","348.80","346.80","349.10","346.80","-","0.58%"
"1989년 12월 26일","346.80","347.40","347.90","346.50","-","-0.17%"
"1989년 12월 22일","347.40","344.80","347.50","344.80","-","0.75%"
"1989년 12월 21일","344.80","342.80","345.00","342.80","-","0.58%"
"1989년 12월 20일","342.80","342.50","343.70","341.80","-","0.09%"
"1989년 12월 19일","342.50","343.70","343.70","339.60","-","-0.35%"
"1989년 12월 18일","343.70","350.10","350.90","342.20","-","-1.83%"
"1989년 12월 15일","350.10","350.90","351.90","346.10","-","-0.23%"
"1989년 12월 14일","350.90","352.80","352.80","350.10","-","-0.54%"
"1989년 12월 13일","352.80","351.70","354.10","351.60","-","0.31%"
"1989년 12월 12일","351.70","348.60","352.20","348.40","-","0.89%"
"1989년 12월 11일","348.60","348.70","348.70","346.40","-","-0.03%"
"1989년 12월 08일","348.70","347.60","349.60","347.60","-","0.32%"
"1989년 12월 07일","347.60","348.60","349.80","346.00","-","-0.29%"
"1989년 12월 06일","348.60","349.60","349.90","347.90","-","-0.29%"
"1989년 12월 05일","349.60","351.40","352.20","349.60","-","-0.51%"
"1989년 12월 04일","351.40","350.60","351.50","350.30","-","0.23%"
"1989년 12월 01일","350.60","346.00","351.90","346.00","-","1.33%"
"1989년 11월 30일","346.00","343.60","346.50","343.60","-","0.70%"
"1989년 11월 29일","343.60","345.80","345.80","343.40","-","-0.64%"
"1989년 11월 28일","345.80","345.60","346.30","344.40","-","0.06%"
"1989년 11월 27일","345.60","344.00","346.20","344.00","-","0.47%"
"1989년 11월 24일","344.00","341.90","344.20","341.90","-","0.61%"
"1989년 11월 22일","341.90","339.60","341.90","339.60","-","0.68%"
"1989년 11월 21일","339.60","339.40","340.20","337.50","-","0.06%"
"1989년 11월 20일","339.40","341.60","341.90","338.30","-","-0.64%"
"1989년 11월 17일","341.60","340.60","342.20","339.90","-","0.29%"
"1989년 11월 16일","340.60","340.50","341.00","338.90","-","0.03%"
"1989년 11월 15일","340.50","338.00","340.50","337.10","-","0.74%"
"1989년 11월 14일","338.00","339.60","340.40","337.10","-","-0.47%"
"1989년 11월 13일","339.60","339.10","340.50","337.90","-","0.15%"
"1989년 11월 10일","339.10","336.60","339.10","336.60","-","0.74%"
"1989년 11월 09일","336.60","338.10","338.70","336.20","-","-0.44%"
"1989년 11월 08일","338.10","334.80","339.40","334.80","-","0.99%"
